fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matrícula,mx1,my1,mx2,my2,texto_matricula
1923,car,"tensor(0.8962, device='cuda:0')",8254,746,240,1091,499,pl_license_plate,"tensor(0.5823, device='cuda:0')",823,431,896,451,E.
1924,car,"tensor(0.9017, device='cuda:0')",8260,724,244,1086,510,pl_license_plate,"tensor(0.7165, device='cuda:0')",802,436,878,457,DB
1926,car,"tensor(0.8862, device='cuda:0')",8272,673,233,1073,530,pl_license_plate,"tensor(0.6549, device='cuda:0')",753,449,837,471,Wwi
2109,car,"tensor(0.6854, device='cuda:0')",8913,898,287,1119,448,pl_license_plate,"tensor(0.5846, device='cuda:0')",952,389,1006,403,
2110,car,"tensor(0.6825, device='cuda:0')",8916,890,286,1115,452,pl_license_plate,"tensor(0.7211, device='cuda:0')",946,391,1000,405,177o
2111,car,"tensor(0.7523, device='cuda:0')",8919,883,286,1110,454,pl_license_plate,"tensor(0.6738, device='cuda:0')",938,394,994,407,
2112,car,"tensor(0.8390, device='cuda:0')",8921,874,286,1108,458,pl_license_plate,"tensor(0.6150, device='cuda:0')",930,395,988,409,Dnouma
2113,car,"tensor(0.8563, device='cuda:0')",8923,864,284,1104,461,pl_license_plate,"tensor(0.8374, device='cuda:0')",923,396,981,411,4o d
2114,car,"tensor(0.8343, device='cuda:0')",8926,856,282,1103,462,pl_license_plate,"tensor(0.7946, device='cuda:0')",914,399,974,413,D7uma
2115,car,"tensor(0.8080, device='cuda:0')",8929,845,282,1100,467,pl_license_plate,"tensor(0.8705, device='cuda:0')",905,400,967,415,Daquma
2116,car,"tensor(0.8853, device='cuda:0')",8932,837,281,1097,471,pl_license_plate,"tensor(0.8487, device='cuda:0')",897,402,959,418,70 Jq
2117,car,"tensor(0.8470, device='cuda:0')",8936,825,282,1093,474,pl_license_plate,"tensor(0.8619, device='cuda:0')",888,403,951,420,Wo Jq
2118,car,"tensor(0.8604, device='cuda:0')",8938,817,282,1088,477,pl_license_plate,"tensor(0.8683, device='cuda:0')",877,406,943,423,W70uq
2119,car,"tensor(0.8098, device='cuda:0')",8940,804,281,1082,479,pl_license_plate,"tensor(0.8562, device='cuda:0')",868,408,934,425,470 Jd
2120,car,"tensor(0.8120, device='cuda:0')",8943,792,279,1080,484,pl_license_plate,"tensor(0.8410, device='cuda:0')",857,410,925,428,DoJd
2121,car,"tensor(0.8522, device='cuda:0')",8946,781,279,1076,486,pl_license_plate,"tensor(0.8404, device='cuda:0')",847,413,916,430,4720)Md
2122,car,"tensor(0.8341, device='cuda:0')",8949,768,278,1072,493,pl_license_plate,"tensor(0.8606, device='cuda:0')",835,415,906,434,470
2123,car,"tensor(0.8626, device='cuda:0')",8951,751,276,1069,496,pl_license_plate,"tensor(0.8568, device='cuda:0')",822,418,896,437,4770
2124,car,"tensor(0.8665, device='cuda:0')",8954,740,276,1063,501,pl_license_plate,"tensor(0.8258, device='cuda:0')",809,422,885,442,4O JG
2125,car,"tensor(0.8946, device='cuda:0')",8957,724,275,1058,504,pl_license_plate,"tensor(0.8342, device='cuda:0')",796,426,873,446,1770JG
2126,car,"tensor(0.8848, device='cuda:0')",8959,709,274,1057,510,pl_license_plate,"tensor(0.8654, device='cuda:0')",781,430,861,449,40 JG
2127,car,"tensor(0.8588, device='cuda:0')",8961,693,273,1051,517,pl_license_plate,"tensor(0.8663, device='cuda:0')",767,432,849,454,470uq
2128,car,"tensor(0.8744, device='cuda:0')",8963,675,272,1049,521,pl_license_plate,"tensor(0.8515, device='cuda:0')",751,436,835,458,4Z70JG
2129,car,"tensor(0.9103, device='cuda:0')",8965,657,270,1039,530,pl_license_plate,"tensor(0.8694, device='cuda:0')",734,439,821,463,1770 JYG
2130,car,"tensor(0.8664, device='cuda:0')",8968,637,270,1036,535,pl_license_plate,"tensor(0.8617, device='cuda:0')",716,443,805,468,MOJd
2131,car,"tensor(0.8320, device='cuda:0')",8972,618,267,1029,540,pl_license_plate,"tensor(0.8594, device='cuda:0')",697,447,790,472,1OJd
2132,car,"tensor(0.8676, device='cuda:0')",8976,597,263,1025,548,pl_license_plate,"tensor(0.8763, device='cuda:0')",676,451,772,476,MOJG
2133,car,"tensor(0.8773, device='cuda:0')",8980,574,264,1017,554,pl_license_plate,"tensor(0.8809, device='cuda:0')",656,455,754,482,moJd
2134,car,"tensor(0.8793, device='cuda:0')",8984,548,264,1010,567,pl_license_plate,"tensor(0.8571, device='cuda:0')",633,460,734,490,moG
2135,car,"tensor(0.9139, device='cuda:0')",8988,524,262,1005,575,pl_license_plate,"tensor(0.6349, device='cuda:0')",608,464,713,496,Dd
2136,car,"tensor(0.9217, device='cuda:0')",8992,492,260,998,583,pl_license_plate,"tensor(0.5909, device='cuda:0')",583,469,690,501,40Jd
2137,car,"tensor(0.9206, device='cuda:0')",8996,462,258,988,593,pl_license_plate,"tensor(0.7692, device='cuda:0')",554,476,667,510,MG
2138,car,"tensor(0.9071, device='cuda:0')",9002,433,256,980,601,pl_license_plate,"tensor(0.8467, device='cuda:0')",524,483,641,518,Dud
2139,car,"tensor(0.9201, device='cuda:0')",9006,399,256,973,615,pl_license_plate,"tensor(0.8269, device='cuda:0')",490,490,611,525,M
2140,car,"tensor(0.9222, device='cuda:0')",9011,359,253,963,627,pl_license_plate,"tensor(0.8950, device='cuda:0')",453,497,580,534,Id
2141,car,"tensor(0.9165, device='cuda:0')",9015,320,252,954,639,pl_license_plate,"tensor(0.8179, device='cuda:0')",415,505,548,544,md
2142,car,"tensor(0.8757, device='cuda:0')",9019,277,248,946,656,pl_license_plate,"tensor(0.8608, device='cuda:0')",373,515,509,558,Md
2143,car,"tensor(0.9084, device='cuda:0')",9023,227,247,932,673,pl_license_plate,"tensor(0.8777, device='cuda:0')",324,524,468,568,UT
2144,car,"tensor(0.9272, device='cuda:0')",9029,174,245,922,687,pl_license_plate,"tensor(0.8551, device='cuda:0')",270,537,423,583,U
2145,car,"tensor(0.9428, device='cuda:0')",9035,115,240,910,708,pl_license_plate,"tensor(0.7240, device='cuda:0')",213,548,372,598,Uud
2146,car,"tensor(0.9556, device='cuda:0')",9041,47,239,898,725,pl_license_plate,"tensor(0.4494, device='cuda:0')",144,563,316,617,O
2149,car,"tensor(0.8836, device='cuda:0')",9051,1598,320,1920,503,pl_license_plate,"tensor(0.5555, device='cuda:0')",1830,393,1895,411,
2151,car,"tensor(0.8733, device='cuda:0')",9059,1585,320,1918,498,pl_license_plate,"tensor(0.6678, device='cuda:0')",1796,389,1858,406,
2152,car,"tensor(0.9017, device='cuda:0')",9064,1575,319,1903,497,pl_license_plate,"tensor(0.7264, device='cuda:0')",1780,388,1842,405,
2153,car,"tensor(0.8818, device='cuda:0')",9067,1570,320,1885,496,pl_license_plate,"tensor(0.6820, device='cuda:0')",1766,387,1825,403,
2154,car,"tensor(0.8506, device='cuda:0')",9071,1561,320,1868,491,pl_license_plate,"tensor(0.7545, device='cuda:0')",1752,385,1811,401,
2155,car,"tensor(0.8753, device='cuda:0')",9075,1554,321,1855,487,pl_license_plate,"tensor(0.4141, device='cuda:0')",1739,383,1797,399,
2156,car,"tensor(0.8919, device='cuda:0')",9079,1550,322,1840,484,pl_license_plate,"tensor(0.5328, device='cuda:0')",1723,381,1782,399,
2157,car,"tensor(0.8888, device='cuda:0')",9084,1542,320,1825,483,pl_license_plate,"tensor(0.4673, device='cuda:0')",1713,380,1770,397,
2158,car,"tensor(0.8836, device='cuda:0')",9089,1538,320,1813,480,pl_license_plate,"tensor(0.5979, device='cuda:0')",1701,378,1757,396,
2159,car,"tensor(0.8773, device='cuda:0')",9091,1531,320,1799,476,pl_license_plate,"tensor(0.6683, device='cuda:0')",1691,377,1744,394,
2160,car,"tensor(0.8924, device='cuda:0')",9095,1527,320,1786,472,pl_license_plate,"tensor(0.5039, device='cuda:0')",1680,377,1733,393,
2162,car,"tensor(0.8849, device='cuda:0')",9101,1515,320,1762,467,pl_license_plate,"tensor(0.6452, device='cuda:0')",1661,375,1711,390,
2164,car,"tensor(0.8977, device='cuda:0')",9111,1505,317,1742,464,pl_license_plate,"tensor(0.7441, device='cuda:0')",1642,372,1691,387,
2165,car,"tensor(0.9055, device='cuda:0')",9114,1501,315,1732,461,pl_license_plate,"tensor(0.7024, device='cuda:0')",1633,372,1682,385,
2166,car,"tensor(0.8705, device='cuda:0')",9121,1496,318,1720,457,pl_license_plate,"tensor(0.6553, device='cuda:0')",1626,372,1673,385,
2169,car,"tensor(0.8270, device='cuda:0')",9131,1480,318,1694,453,pl_license_plate,"tensor(0.4449, device='cuda:0')",1602,370,1648,382,
2170,car,"tensor(0.7711, device='cuda:0')",9135,1475,318,1684,450,pl_license_plate,"tensor(0.5232, device='cuda:0')",1593,368,1640,381,
2171,car,"tensor(0.8119, device='cuda:0')",9141,1472,316,1676,448,pl_license_plate,"tensor(0.5217, device='cuda:0')",1587,368,1632,380,
2172,car,"tensor(0.8553, device='cuda:0')",9146,1469,321,1669,444,pl_license_plate,"tensor(0.5483, device='cuda:0')",1581,367,1625,379,
2173,car,"tensor(0.8305, device='cuda:0')",9151,1465,318,1661,442,pl_license_plate,"tensor(0.6207, device='cuda:0')",1573,366,1618,378,
2175,car,"tensor(0.7800, device='cuda:0')",9159,1458,322,1647,440,pl_license_plate,"tensor(0.6228, device='cuda:0')",1562,365,1604,375,
2340,car,"tensor(0.8943, device='cuda:0')",9631,740,298,1007,474,pl_license_plate,"tensor(0.4604, device='cuda:0')",787,409,850,425,Lo3a
2345,car,"tensor(0.9025, device='cuda:0')",9645,652,295,971,497,pl_license_plate,"tensor(0.4531, device='cuda:0')",706,425,779,444,8093
2346,car,"tensor(0.9128, device='cuda:0')",9647,631,295,961,502,pl_license_plate,"tensor(0.4388, device='cuda:0')",686,429,762,448,8038
2347,car,"tensor(0.8923, device='cuda:0')",9649,612,293,952,511,pl_license_plate,"tensor(0.5208, device='cuda:0')",665,433,742,454,2u23
2348,car,"tensor(0.9222, device='cuda:0')",9652,588,291,942,519,pl_license_plate,"tensor(0.4204, device='cuda:0')",643,438,722,459,@18
2461,car,"tensor(0.9225, device='cuda:0')",9918,1488,332,1860,518,pl_license_plate,"tensor(0.5221, device='cuda:0')",1741,408,1805,424,
2463,car,"tensor(0.8962, device='cuda:0')",9928,1478,331,1818,508,pl_license_plate,"tensor(0.6099, device='cuda:0')",1702,403,1764,417,
2465,car,"tensor(0.8854, device='cuda:0')",9936,1470,329,1784,499,pl_license_plate,"tensor(0.4549, device='cuda:0')",1671,398,1731,412,
2466,car,"tensor(0.9134, device='cuda:0')",9940,1466,329,1765,495,pl_license_plate,"tensor(0.5056, device='cuda:0')",1656,395,1715,409,
2469,car,"tensor(0.8588, device='cuda:0')",9953,1451,329,1723,487,pl_license_plate,"tensor(0.7552, device='cuda:0')",1617,389,1672,403,
2470,car,"tensor(0.8700, device='cuda:0')",9958,1449,329,1709,483,pl_license_plate,"tensor(0.6403, device='cuda:0')",1607,387,1660,402,
2473,car,"tensor(0.8640, device='cuda:0')",9973,1438,324,1677,471,pl_license_plate,"tensor(0.4872, device='cuda:0')",1578,383,1629,396,
2475,car,"tensor(0.8458, device='cuda:0')",9983,1438,328,1658,466,pl_license_plate,"tensor(0.7802, device='cuda:0')",1562,381,1612,394,
2477,car,"tensor(0.8583, device='cuda:0')",9989,1436,328,1641,462,pl_license_plate,"tensor(0.4561, device='cuda:0')",1547,378,1596,392,
2504,car,"tensor(0.8861, device='cuda:0')",10072,1603,322,1920,505,pl_license_plate,"tensor(0.4012, device='cuda:0')",1833,394,1894,413,aa
